ConfigName,Det,Height,BuildingSize,StreetWidth,AreaDensity,VolumeDensity,ChargeWeight,RadiusP,RadiusI,PressureAtR,ImpulseAtR
config_01_det1_b15_s5_h4_w50,1,4,15,5,0.5625,0.09375,50,25.245105961354174,43.71712479109302,14.056258201599121,1.242045088112356
config_02_det1_b15_s5_h4_w500,1,4,15,5,0.5625,0.09375,500,56.138140382057145,105.54250598429263,2.962456101729786,11.680425012111042
config_03_det1_b15_s5_h4_w1500,1,4,15,5,0.5625,0.09375,1500,84.18196766859013,162.32514511347622,13.507432102615493,270.95947265625
config_04_det1_b15_s5_h12_w50,1,12,15,5,0.5625,0.28125,50,22.539029112482492,45.485353411840165,17.714475631713867,6.129894092679024
config_05_det1_b15_s5_h12_w500,1,12,15,5,0.5625,0.28125,500,69.8017782724767,103.92171826802029,26.189647674560547,67.74864842891694
config_06_det1_b15_s5_h12_w1500,1,12,15,5,0.5625,0.28125,1500,89.83892746960468,144.46272606531494,1.6865094635460034,426.7442321777344
config_07_det1_b15_s5_h24_w50,1,24,15,5,0.5625,0.5625,50,22.540681432566416,35.22143346032356,17.708070755004883,33.61795481741429
config_08_det1_b15_s5_h24_w500,1,24,15,5,0.5625,0.5625,500,73.32736045751726,113.99475603192359,25.26690673828125,210.52053833007812
config_09_det1_b15_s5_h24_w1500,1,24,15,5,0.5625,0.5625,1500,101.7547647669522,156.15692463387947,1.082631871459246,291.03839111328125
config_10_det1_b15_s20_h4_w50,1,4,15,20,0.1836734693877551,0.030612244897959186,50,23.529955789258178,42.70050643727777,16.50550079345703,96.70316314697266
config_11_det1_b15_s20_h4_w500,1,4,15,20,0.1836734693877551,0.030612244897959186,500,57.9914820134053,106.13376184220448,3.677275490119379,82.54905558586431
config_12_det1_b15_s20_h4_w1500,1,4,15,20,0.1836734693877551,0.030612244897959186,1500,88.86513822454036,155.22663569940423,4.761340967967588,5.404917329549789
config_13_det1_b15_s20_h12_w50,1,12,15,20,0.1836734693877551,0.09183673469387756,50,23.930105689974155,36.42915194059712,15.526266098022461,9.264046669006348
config_14_det1_b15_s20_h12_w500,1,12,15,20,0.1836734693877551,0.09183673469387756,500,53.050600321244666,89.4222260620305,15.596234321594238,165.712186126709
config_15_det1_b15_s20_h12_w1500,1,12,15,20,0.1836734693877551,0.09183673469387756,1500,83.22232764976262,142.5734390196466,12.68696117401123,288.23602294921875
config_16_det1_b15_s20_h24_w50,1,24,15,20,0.1836734693877551,0.1836734693877551,50,23.930105689974155,35.70878918417705,15.526273727416992,7.998890261650131
config_17_det1_b15_s20_h24_w500,1,24,15,20,0.1836734693877551,0.1836734693877551,500,51.25671283950143,74.76101721114048,17.865976333618164,172.24874877929688
config_18_det1_b15_s20_h24_w1500,1,24,15,20,0.1836734693877551,0.1836734693877551,1500,81.1349939059042,112.38361831987199,8.740468978881836,68.75427671372891
config_19_det1_b30_s5_h4_w50,1,4,30,5,0.7346938775510204,0.12244897959183675,50,29.697415712482456,40.555647811919414,0.7054894339584327,2.628454476594974
config_20_det1_b30_s5_h4_w500,1,4,30,5,0.7346938775510204,0.12244897959183675,500,48.795136938929566,97.09560923817993,2.8840191060852494,75.16609783932427
config_21_det1_b30_s5_h4_w1500,1,4,30,5,0.7346938775510204,0.12244897959183675,1500,72.93883834342914,154.08872151206336,1.4970616407750643,1.391106516122818
config_22_det1_b30_s5_h12_w50,1,12,30,5,0.7346938775510204,0.3673469387755102,50,28.509912993358796,49.39538791448268,0.3860567543480791,115.22718048095703
config_23_det1_b30_s5_h12_w500,1,12,30,5,0.7346938775510204,0.3673469387755102,500,64.78753695306254,96.89735010996604,2.2532972137312623,84.47453583776951
config_24_det1_b30_s5_h12_w1500,1,12,30,5,0.7346938775510204,0.3673469387755102,1500,86.1308847368675,141.39898362238833,23.59836527521928,422.5519714355469
config_25_det1_b30_s5_h24_w50,1,24,30,5,0.7346938775510204,0.7346938775510204,50,28.520012953869582,39.45500654754307,0.3401814708683915,27.691984042525956
config_26_det1_b30_s5_h24_w500,1,24,30,5,0.7346938775510204,0.7346938775510204,500,80.53502274718055,111.72047211182421,7.143749904091411,261.66009521484375
config_27_det1_b30_s5_h24_w1500,1,24,30,5,0.7346938775510204,0.7346938775510204,1500,108.08168348779341,156.8796380456474,6.923418933904031,1.3691458404064178
config_28_det1_b30_s20_h4_w50,1,4,30,20,0.36,0.06,50,30.34565569310448,42.2901356044698,0.0711706039879897,100.86754608154297
config_29_det1_b30_s20_h4_w500,1,4,30,20,0.36,0.06,500,55.77492367642569,96.40820439672133,13.204030990600586,193.10537719726562
config_30_det1_b30_s20_h4_w1500,1,4,30,20,0.36,0.06,1500,85.58718597300519,161.03902619655068,23.684555053710938,4.542225480079651
config_31_det1_b30_s20_h12_w50,1,12,30,20,0.36,0.18000000000000002,50,30.696701098543684,41.32405322569411,0.12080984925966963,4.8717934757468715
config_32_det1_b30_s20_h12_w500,1,12,30,20,0.36,0.18000000000000002,500,53.34157110859534,88.37627108939745,1.9723989017365966,36.603535905480385
config_33_det1_b30_s20_h12_w1500,1,12,30,20,0.36,0.18000000000000002,1500,82.03827528118269,138.2956619890877,14.70217227935791,1.3774610459804535
config_34_det1_b30_s20_h24_w50,1,24,30,20,0.36,0.36000000000000004,50,30.696701098543684,41.03230282350724,0.19218613242845822,0.6514124607294829
config_35_det1_b30_s20_h24_w500,1,24,30,20,0.36,0.36000000000000004,500,53.57300289221138,71.46052319287901,6.47572660446167,228.35012817382812
config_36_det1_b30_s20_h24_w1500,1,24,30,20,0.36,0.36000000000000004,1500,82.44980990140473,128.12590948186693,13.3745698928833,324.3614321136477
config_37_det2_b15_s5_h4_w50,2,4,15,5,0.5625,0.09375,50,29.391603818097444,46.255709707619395,0.6665465034602672,114.72987365722656
config_38_det2_b15_s5_h4_w500,2,4,15,5,0.5625,0.09375,500,60.016883851314894,96.31291904516236,10.913538932800293,98.91847757756774
config_39_det2_b15_s5_h4_w1500,2,4,15,5,0.5625,0.09375,1500,89.7390989201474,155.36680370801366,9.983816241676525,241.3408203125
