Config,Z,P_ff,I_ff,MaxR_P,MaxR_I
config_01_det1_b15_s5_h4_w50,1,1143.99309910078,724.976931135836,5.637410010098854,12.83502981629404
config_01_det1_b15_s5_h4_w50,2,226.084029078955,415.578696008349,12.622986073636874,21.455380671101757
config_01_det1_b15_s5_h4_w50,3,95.9537592016972,309.044693901097,19.766640339506203,26.26401030020152
config_01_det1_b15_s5_h4_w50,4,55.3066653883184,243.601640148777,,31.236212582227463
config_01_det1_b15_s5_h4_w50,5,36.993922117345,199.162959091226,,34.46785630666612
config_01_det1_b15_s5_h4_w50,6,27.0813487792226,167.515272305283,,36.28476503980032
config_01_det1_b15_s5_h4_w50,7,21.0130117246902,144.270449058323,,42.51992636054077
config_02_det1_b15_s5_h4_w500,1,1371.96964499226,1562.09876717853,15.003420983316703,24.23178114964787
config_02_det1_b15_s5_h4_w500,2,259.641330065364,879.048720659531,27.545775037702754,36.744840249391856
config_02_det1_b15_s5_h4_w500,3,105.27554977829,661.976402363107,42.144127148868684,47.67364841406277
config_02_det1_b15_s5_h4_w500,4,59.8243642194367,522.325202955406,49.550542378464435,61.842296343251626
config_02_det1_b15_s5_h4_w500,5,40.4077641479295,425.720697172114,,65.8969044173366
config_02_det1_b15_s5_h4_w500,6,30.0937750463872,358.05135977561,,82.44766040351928
config_02_det1_b15_s5_h4_w500,7,23.5282591644182,308.420236242715,,88.79266044391561
config_02_det1_b15_s5_h4_w500,8,19.0428108742971,270.599644012954,,103.80999572000277
config_03_det1_b15_s5_h4_w1500,1,1482.77218730659,2195.12941567296,22.991280250617823,30.29832004911055
config_03_det1_b15_s5_h4_w1500,2,276.168535055985,1274.88781758312,37.19715729146818,47.71189343195856
config_03_det1_b15_s5_h4_w1500,3,110.489999377789,954.913490984421,59.86132750086281,65.40014367608123
config_03_det1_b15_s5_h4_w1500,4,62.265165672113,754.396736282332,74.82643214951614,84.5840732172336
config_03_det1_b15_s5_h4_w1500,5,41.3983921590561,615.089943611065,,91.28242574559465
config_03_det1_b15_s5_h4_w1500,6,30.5947542861908,517.737731419071,,107.71885280673945
config_03_det1_b15_s5_h4_w1500,7,24.0675826659041,446.310779861523,,124.15554907241204
config_03_det1_b15_s5_h4_w1500,8,19.5984247045618,391.790936353185,,142.95905041254755
config_03_det1_b15_s5_h4_w1500,9,14.813237392189,347.069530043393,,160.3895687342836
config_04_det1_b15_s5_h12_w50,1,1143.99309910078,724.976931135836,,12.857184597098072
config_04_det1_b15_s5_h12_w50,2,226.084029078955,415.578696008349,12.79671350370862,26.280190983056727
config_04_det1_b15_s5_h12_w50,3,95.9537592016972,309.044693901097,19.11760827563425,27.81130759959755
config_04_det1_b15_s5_h12_w50,4,55.3066653883184,243.601640148777,,31.274931592480243
config_04_det1_b15_s5_h12_w50,5,36.993922117345,199.162959091226,,34.30018059478282
config_05_det1_b15_s5_h12_w500,1,1371.96964499226,1562.09876717853,14.510645765982845,27.63710734217649
config_05_det1_b15_s5_h12_w500,2,259.641330065364,879.048720659531,31.31906094128243,43.82522030927317
config_05_det1_b15_s5_h12_w500,3,105.27554977829,661.976402363107,41.1074684315636,61.88106806817857
config_05_det1_b15_s5_h12_w500,4,59.8243642194367,522.325202955406,64.73973601783645,75.57179535686633
config_05_det1_b15_s5_h12_w500,5,40.4077641479295,425.720697172114,,80.93829249832524
config_05_det1_b15_s5_h12_w500,6,30.0937750463872,358.05135977561,,100.93050032219173
config_06_det1_b15_s5_h12_w1500,1,1482.77218730659,2195.12941567296,21.246746724278292,38.60884203752988
config_06_det1_b15_s5_h12_w1500,2,276.168535055985,1274.88781758312,41.18659865126058,61.53564198470437
config_06_det1_b15_s5_h12_w1500,3,110.489999377789,954.913490984421,68.34298516259868,77.5696047202764
config_06_det1_b15_s5_h12_w1500,4,62.265165672113,754.396736282332,84.8188995741524,103.20415693703511
config_06_det1_b15_s5_h12_w1500,5,41.3983921590561,615.089943611065,,116.92074549742713
config_06_det1_b15_s5_h12_w1500,6,30.5947542861908,517.737731419071,,132.73774884066808
config_07_det1_b15_s5_h24_w50,1,1143.99309910078,724.976931135836,,12.857184597098072
config_07_det1_b15_s5_h24_w50,2,226.084029078955,415.578696008349,12.79671350370862,26.284044825072634
config_07_det1_b15_s5_h24_w50,3,95.9537592016972,309.044693901097,19.11760827563425,27.838840783530838
config_07_det1_b15_s5_h24_w50,4,55.3066653883184,243.601640148777,,33.6241075549704
config_08_det1_b15_s5_h24_w500,1,1371.96964499226,1562.09876717853,14.510645765982845,27.671521172571737
config_08_det1_b15_s5_h24_w500,2,259.641330065364,879.048720659531,31.31906094128243,34.84469264884456
config_08_det1_b15_s5_h24_w500,3,105.27554977829,661.976402363107,41.12954256303019,42.40531993457331
config_08_det1_b15_s5_h24_w500,4,59.8243642194367,522.325202955406,52.59094702726584,74.76460619865398
config_08_det1_b15_s5_h24_w500,5,40.4077641479295,425.720697172114,53.46109381603033,90.20661550682945
config_08_det1_b15_s5_h24_w500,6,30.0937750463872,358.05135977561,68.62995879494511,
config_09_det1_b15_s5_h24_w1500,1,1482.77218730659,2195.12941567296,21.226678898361712,40.12232395829864
config_09_det1_b15_s5_h24_w1500,2,276.168535055985,1274.88781758312,41.36061712576669,52.68737834771832
config_09_det1_b15_s5_h24_w1500,3,110.489999377789,954.913490984421,54.700613994053235,88.21248411828333
config_09_det1_b15_s5_h24_w1500,4,62.265165672113,754.396736282332,,116.4677122517014
config_09_det1_b15_s5_h24_w1500,5,41.3983921590561,615.089943611065,,119.74405278202047
config_09_det1_b15_s5_h24_w1500,6,30.5947542861908,517.737731419071,,147.11481322437976
