Z,P_50,P_250,P_500,P_1000,P_1500,I_50,I_250,I_500,I_1000,I_1500
1,1143.99309910078,1322.68273568211,1371.96964499226,1437.86820833333,1482.77218730659,724.976931135836,1231.55614540992,1562.09876717853,1946.65627034505,2195.12941567296
2,226.084029078955,252.93209269631,259.641330065364,270.273583333333,276.168535055985,415.578696008349,694.862830042474,879.048720659531,1110.42730712891,1274.88781758312
3,95.9537592016972,104.998977908618,105.27554977829,108.843,110.489999377789,309.044693901097,525.24000926827,661.976402363107,838.393432617188,954.913490984421
4,55.3066653883184,59.7200348642112,59.8243642194367,61.6362135416667,62.265165672113,243.601640148777,414.304889211797,522.325202955406,660.314829508464,754.396736282332
5,36.993922117345,39.8568210825817,40.4077641479295,41.4805494791667,41.3983921590561,199.162959091226,338.841406453851,425.720697172114,537.798126220703,615.089943611065
6,27.0813487792226,29.1032232969694,30.0937750463872,30.7686484375,30.5947542861908,167.515272305283,285.270286428345,358.05135977561,452.795272827148,517.737731419071
7,21.0130117246902,22.5780158271681,23.5282591644182,24.04661328125,24.0675826659041,144.270449058323,245.899008295199,308.420236242715,390.392094930013,446.310779861523
8,16.9791838231912,18.2704668808745,19.0428108742971,19.4677135416667,19.5984247045618,126.567457936793,215.87945345554,270.599644012954,342.550003051758,391.790936353185
9,14.1386261548201,15.2425257500057,15.852309192731,16.21081640625,14.813237392189,112.67074195811,192.266813750414,240.900973795346,304.876281738281,347.069530043393
10,12.0436968582402,13.0104568662737,13.4989773933766,12.85248046875,12.2749345250106,101.492859164877,173.233610024881,217.007292249313,271.698257446289,314.281592480616
11,10.4441745847862,11.3050806069729,11.7063849801001,10.4575859375,10.3785968167878,92.3147739934436,157.581691801359,197.385914003329,248.922744750977,286.18006793008
12,9.18858802088564,9.96424838716288,10.3024927250127,8.91555078125,9.08425019280687,84.6488737667435,144.494696357211,174.798447942669,228.986923217773,262.551262568411
13,8.17952811343337,8.88536700979521,8.2343773807999,7.87199609375,8.07100869684366,78.1526248923616,133.398136789257,165.736766297224,211.807258605957,242.465429921281
14,7.35329010871709,8.00069163608761,7.1387354334877,7.05954296875,7.24897508045351,72.5789333035372,123.875447271731,155.114313416779,196.793830871582,225.256267238797
15,6.66553395622582,7.26352017039033,6.30992163133089,6.37659375,6.56841598047092,67.7448225492957,115.570070080883,144.57194507965,183.734001159668,210.321763462317
16,6.08550710316677,6.12354953275908,5.64079151507659,5.808765625,5.99684734319579,63.5135734450523,107.311001938117,135.933108110648,172.296012878418,197.206183278909
17,5.59016165342281,5.33231413765071,5.12956312475836,5.32770703125,5.50925993039002,59.7788117000728,101.419455756059,128.020670362398,162.19344329834,185.62250063012
18,5.1628769216908,4.76253492535128,4.70918677317163,4.91498046875,5.08897006822918,56.4585920266622,96.2835680439318,120.936071767983,153.208526611328,175.317193184827
19,4.7910922066594,4.30879220439916,4.34538602141658,4.55701953125,4.72308712345199,53.4876153308822,91.0479780688807,114.666952954547,145.16609954834,166.110522527026
20,4.46481413819361,3.94463241538417,4.03167079521766,4.24378515625,4.4019262322732,50.8136682209736,86.7228654737704,108.995763264335,137.92414855957,157.810856039111
