Config,Z,P_ff,I_ff,MaxR_P,MaxR_I,beyond_P,beyond_I,RadiusEstimator
config_01_det1_b15_s5_h4_w50,1,1143.99309910078,724.976931135836,2.5615669032840036,4.729482001234385,False,False,req
config_01_det1_b15_s5_h4_w50,2,226.084029078955,415.578696008349,5.5640587703582,9.026191057140327,False,False,req
config_01_det1_b15_s5_h4_w50,3,95.9537592016972,309.044693901097,8.527440999502723,14.885277961798362,False,False,req
config_01_det1_b15_s5_h4_w50,4,55.3066653883184,243.601640148777,11.910599271237363,18.805205396378952,False,False,req
config_01_det1_b15_s5_h4_w50,5,36.993922117345,199.162959091226,17.758452212960453,23.08175415777579,False,False,req
config_01_det1_b15_s5_h4_w50,6,27.0813487792226,167.515272305283,24.92225160373757,30.736368929982604,False,False,req
config_01_det1_b15_s5_h4_w50,7,21.0130117246902,144.270449058323,30.561779643862366,32.726462916117285,True,False,req
config_01_det1_b15_s5_h4_w50,8,16.9791838231912,126.567457936793,32.820608998006115,38.37714651977138,True,False,req
config_01_det1_b15_s5_h4_w50,9,14.1386261548201,112.67074195811,36.91533387360868,43.49512472680128,True,False,req
config_01_det1_b15_s5_h4_w50,10,12.0436968582402,101.492859164877,40.37527554085545,45.29269670708513,True,True,req
config_01_det1_b15_s5_h4_w50,11,10.4441745847862,92.3147739934436,44.74004218817859,50.858169206136395,True,True,req
config_01_det1_b15_s5_h4_w50,12,9.18858802088564,84.6488737667435,49.55061932004483,56.09584097774094,True,True,req
config_01_det1_b15_s5_h4_w50,13,8.17952811343337,78.1526248923616,54.7536425728919,61.077666744891296,True,True,req
config_01_det1_b15_s5_h4_w50,14,7.35329010871709,72.5789333035372,57.77387709856419,66.34590322695139,True,True,req
config_01_det1_b15_s5_h4_w50,15,6.66553395622582,67.7448225492957,60.59411171887909,69.68270857967563,True,True,req
config_01_det1_b15_s5_h4_w50,16,6.08550710316677,63.5135734450523,62.60545004230861,73.75779874020103,True,True,req
config_01_det1_b15_s5_h4_w50,17,5.59016165342281,59.7788117000728,65.0687050355238,79.53928877185999,True,True,req
config_01_det1_b15_s5_h4_w50,18,5.1628769216908,56.4585920266622,70.34220194875904,83.32319880041412,True,True,req
config_01_det1_b15_s5_h4_w50,19,4.7910922066594,53.4876153308822,75.17771860731077,88.54127568541126,True,True,req
config_01_det1_b15_s5_h4_w50,20,4.46481413819361,50.8136682209736,78.24320976928286,92.26141708934094,True,True,req
config_02_det1_b15_s5_h4_w500,1,1371.96964499226,1562.09876717853,6.844349859555691,11.131627239536904,False,False,req
config_02_det1_b15_s5_h4_w500,2,259.641330065364,879.048720659531,15.212798887778673,20.008516936544797,False,False,req
config_02_det1_b15_s5_h4_w500,3,105.27554977829,661.976402363107,29.359519325084328,31.299111409111916,False,False,req
config_02_det1_b15_s5_h4_w500,4,59.8243642194367,522.325202955406,36.683952554216404,39.930894993726355,False,False,req
config_02_det1_b15_s5_h4_w500,5,40.4077641479295,425.720697172114,47.413493596232705,51.174743526470166,False,False,req
config_02_det1_b15_s5_h4_w500,6,30.0937750463872,358.05135977561,54.69537800399591,60.91822284833989,False,False,req
config_02_det1_b15_s5_h4_w500,7,23.5282591644182,308.420236242715,61.898557131810435,71.22899602689904,True,False,req
config_02_det1_b15_s5_h4_w500,8,19.0428108742971,270.599644012954,73.33855653747216,82.16195819842659,True,False,req
config_02_det1_b15_s5_h4_w500,9,15.852309192731,240.900973795346,82.2847244329104,92.17727847287891,True,False,req
config_02_det1_b15_s5_h4_w500,10,13.4989773933766,217.007292249313,87.7153029693223,102.822268583545,True,False,req
config_02_det1_b15_s5_h4_w500,11,11.7063849801001,197.385914003329,97.02102156233978,113.92759433078538,True,True,req
config_02_det1_b15_s5_h4_w500,12,10.3024927250127,174.798447942669,104.26058093119907,129.5062141902422,True,True,req
config_02_det1_b15_s5_h4_w500,13,8.2343773807999,165.736766297224,115.01550656324562,135.7934559051601,True,True,req
config_02_det1_b15_s5_h4_w500,14,7.1387354334877,155.114313416779,127.1561066497922,145.28970618120962,True,True,req
config_02_det1_b15_s5_h4_w500,15,6.30992163133089,144.57194507965,138.179201733353,156.63328988436655,True,True,req
config_02_det1_b15_s5_h4_w500,16,5.64079151507659,135.933108110648,150.50447390913888,168.06572375115636,True,True,req
config_02_det1_b15_s5_h4_w500,17,5.12956312475836,128.020670362398,162.7048858362895,179.6629831100441,True,True,req
config_02_det1_b15_s5_h4_w500,18,4.70918677317163,120.936071767983,173.56092030049723,190.12524746130435,True,True,req
config_02_det1_b15_s5_h4_w500,19,4.34538602141658,114.666952954547,183.27187985188684,202.942284488308,True,True,req
config_02_det1_b15_s5_h4_w500,20,4.03167079521766,108.995763264335,196.48393700249392,212.79610415711196,True,True,req
config_03_det1_b15_s5_h4_w1500,1,1482.77218730659,2195.12941567296,9.394666039833455,14.340632831224708,False,False,req
config_03_det1_b15_s5_h4_w1500,2,276.168535055985,1274.88781758312,23.598437448271863,31.326185133207648,False,False,req
config_03_det1_b15_s5_h4_w1500,3,110.489999377789,954.913490984421,38.50690684799287,42.74761835471072,False,False,req
config_03_det1_b15_s5_h4_w1500,4,62.265165672113,754.396736282332,54.18841550553032,57.539420183036256,False,False,req
config_03_det1_b15_s5_h4_w1500,5,41.3983921590561,615.089943611065,72.91565932637515,71.41361827410792,False,False,req
config_03_det1_b15_s5_h4_w1500,6,30.5947542861908,517.737731419071,83.34640889084544,84.58472412649672,False,False,req
config_03_det1_b15_s5_h4_w1500,7,24.0675826659041,446.310779861523,96.36507896766568,98.8696884371882,True,False,req
config_03_det1_b15_s5_h4_w1500,8,19.5984247045618,391.790936353185,105.7579283211324,114.11121761733641,True,False,req
config_03_det1_b15_s5_h4_w1500,9,14.813237392189,347.069530043393,123.92587866453793,130.61906674456918,True,False,req
config_03_det1_b15_s5_h4_w1500,10,12.2749345250106,314.281592480616,141.12879637645418,144.23294719153304,True,False,req
config_03_det1_b15_s5_h4_w1500,11,10.3785968167878,286.18006793008,159.47515915931513,160.17330457975822,True,False,req
config_03_det1_b15_s5_h4_w1500,12,9.08425019280687,262.551262568411,176.27421425469782,175.26134057458307,True,True,req
config_03_det1_b15_s5_h4_w1500,13,8.07100869684366,242.465429921281,194.41771681385188,190.8406221315461,True,True,req
config_03_det1_b15_s5_h4_w1500,14,7.24897508045351,225.256267238797,211.93924378357954,207.37283586708156,True,True,req
config_03_det1_b15_s5_h4_w1500,15,6.56841598047092,210.321763462317,228.54458293490333,221.91754912829924,True,True,req
config_03_det1_b15_s5_h4_w1500,16,5.99684734319579,197.206183278909,240.8966208655581,238.38787546070094,True,True,req
config_03_det1_b15_s5_h4_w1500,17,5.50925993039002,185.62250063012,256.1757073876357,254.33178516348372,True,True,req
config_03_det1_b15_s5_h4_w1500,18,5.08897006822918,175.317193184827,270.3544895133055,269.8722717426812,True,True,req
config_03_det1_b15_s5_h4_w1500,19,4.72308712345199,166.110522527026,281.8134627333793,286.78757624570994,True,True,req
config_03_det1_b15_s5_h4_w1500,20,4.4019262322732,157.810856039111,296.74400209233846,301.0986364779636,True,True,req
config_04_det1_b15_s5_h12_w50,1,1143.99309910078,724.976931135836,,4.015843622453444,True,False,req
config_04_det1_b15_s5_h12_w50,2,226.084029078955,415.578696008349,5.051917952619579,9.742554849730126,False,False,req
config_04_det1_b15_s5_h12_w50,3,95.9537592016972,309.044693901097,8.677773331909517,15.584968719891613,False,False,req
config_04_det1_b15_s5_h12_w50,4,55.3066653883184,243.601640148777,12.025426187873759,17.775552030809056,False,False,req
config_04_det1_b15_s5_h12_w50,5,36.993922117345,199.162959091226,16.085397104206038,20.14645750498087,False,False,req
config_04_det1_b15_s5_h12_w50,6,27.0813487792226,167.515272305283,19.839742311834595,32.05590234262639,False,False,req
config_04_det1_b15_s5_h12_w50,7,21.0130117246902,144.270449058323,23.26157507564782,40.75196160922809,True,False,req
config_04_det1_b15_s5_h12_w50,8,16.9791838231912,126.567457936793,29.51131774421468,47.90254560041669,True,True,req
config_04_det1_b15_s5_h12_w50,9,14.1386261548201,112.67074195811,33.84318801472462,54.16202890402094,True,True,req
config_04_det1_b15_s5_h12_w50,10,12.0436968582402,101.492859164877,41.5395158252958,58.053659445378635,True,True,req
config_04_det1_b15_s5_h12_w50,11,10.4441745847862,92.3147739934436,45.97036953299375,63.65197856312088,True,True,req
config_04_det1_b15_s5_h12_w50,12,9.18858802088564,84.6488737667435,51.95959367624038,67.8092683561768,True,True,req
config_04_det1_b15_s5_h12_w50,13,8.17952811343337,78.1526248923616,55.00392599624139,74.72573770127664,True,True,req
config_04_det1_b15_s5_h12_w50,14,7.35329010871709,72.5789333035372,58.32372051747041,79.89898544412188,True,True,req
config_04_det1_b15_s5_h12_w50,15,6.66553395622582,67.7448225492957,61.27718070374974,88.60494750420105,True,True,req
config_04_det1_b15_s5_h12_w50,16,6.08550710316677,63.5135734450523,65.08853105578586,99.4666619191241,True,True,req
config_04_det1_b15_s5_h12_w50,17,5.59016165342281,59.7788117000728,68.5641223600215,106.0234476162912,True,True,req
