Det,Location,Target,Formula,Regime,C,m,p_rho,q_HoverS,r_sW13,C0,C1_sW13,C2_switch,C3_canyon,C4_lnZf,a_thresh,K_const,K_invpi2,K_rho,K_hs,K_xi,Zf_min
1,Street,Pressure,lambda_regime,amplification,,,,,,1.0170069953089786,-0.43540060098760003,0.30635812359709635,0.009363372322345104,0.31321433500793416,1.0,,,,,,2.0
1,Street,Pressure,lambda_regime,attenuation,,,,,,0.8363402405687992,0.03382811325855239,-0.0721071146151092,0.05611594687567869,0.01992397957124425,1.0,,,,,,2.0
1,Street,Pressure,lambda_regime,pooled,,,,,,0.7985378832142095,0.03967512768360516,-0.1129831887686685,0.07893031859472147,0.05786654761016777,1.0,,,,,,2.0
1,Street,Pressure,lambda_regime,criterion,,,,,,,,,,,,3.198998978573481,-2.0367501362883944,-0.1595006702090635,0.3983562504024282,-1.5405945903371052,2.0
1,Street,Impulse,power,,1.5535712088593108,0.9320157806857631,0.16097106593718324,0.062321489708202,-0.054872180563817013,,,,,,,,,,,,2.0
2,Intersection,Pressure,lambda_regime,amplification,,,,,,0.7562564444447218,0.04319411094970699,-0.19117032073045637,0.04245217613348454,0.1528774875232019,2.0,,,,,,2.0
2,Intersection,Pressure,lambda_regime,attenuation,,,,,,1.2460034668045008,-0.08056548526340683,0.3023928707438528,0.042929432718298216,-0.05253938169780429,2.0,,,,,,2.0
2,Intersection,Pressure,lambda_regime,pooled,,,,,,0.8649641782301138,0.02353131676243489,-0.031509039602016294,0.07874432899698491,0.10427042023289582,2.0,,,,,,2.0
2,Intersection,Pressure,lambda_regime,criterion,,,,,,,,,,,,-0.16889220336745225,-2.3735927076234136,5.546884950083097,0.21368954567914106,-1.6959192167869854,2.0
2,Intersection,Impulse,power,,1.3746521440223225,0.978912573718291,0.037085720773597064,0.10345623734319223,-0.02636199323582894,,,,,,,,,,,,2.0
