ConfigName,Det,Height,BuildingSize,StreetWidth,AreaDensity,VolumeDensity,ChargeWeight,RadiusP,RadiusI,PressureAtR,ImpulseAtR,RadiusEstimator
config_01_det1_b15_s5_h4_w50,1,4,15,5,0.5625,0.09375,50,34.97531985944067,53.406156105780404,0.3869172878621612,0.49619683623313904,p95
config_02_det1_b15_s5_h4_w500,1,4,15,5,0.5625,0.09375,500,63.554981647668406,120.1837077063517,28.03557777404785,189.86517333984375,p95
config_03_det1_b15_s5_h4_w1500,1,4,15,5,0.5625,0.09375,1500,103.12491802287653,189.88885493729464,8.929957074577542,246.25303649902344,p95
config_04_det1_b15_s5_h12_w50,1,12,15,5,0.5625,0.28125,50,34.37888536281401,64.60646732599409,1.7560633726476231,119.63916778564453,p95
config_05_det1_b15_s5_h12_w500,1,12,15,5,0.5625,0.28125,500,89.53095529950863,119.99000200795396,21.25833511352539,201.42002868652344,p95
config_06_det1_b15_s5_h12_w1500,1,12,15,5,0.5625,0.28125,1500,114.09284663063139,165.08195888681766,15.52523422241211,383.6500549316406,p95
config_07_det1_b15_s5_h24_w50,1,24,15,5,0.5625,0.5625,50,34.37888536281401,52.71116916740459,1.0143500693200622,20.774278575778492,p95
config_08_det1_b15_s5_h24_w500,1,24,15,5,0.5625,0.5625,500,117.53487679013833,139.02106419867255,5.087060524875915,225.3448028564453,p95
config_09_det1_b15_s5_h24_w1500,1,24,15,5,0.5625,0.5625,1500,136.99883498043727,175.75301870562063,19.481225967407227,375.0946350097656,p95
config_10_det1_b15_s20_h4_w50,1,4,15,20,0.1836734693877551,0.030612244897959186,50,34.52912816829175,59.119227182621586,0.18198437988758087,1.6517174172401674,p95
config_11_det1_b15_s20_h4_w500,1,4,15,20,0.1836734693877551,0.030612244897959186,500,86.17472109129818,133.52027369515298,0.1748422125552217,49.043522539137996,p95
config_12_det1_b15_s20_h4_w1500,1,4,15,20,0.1836734693877551,0.030612244897959186,1500,130.6770932817172,208.02008324871127,0.7663437724113464,0.8035176396369934,p95
config_13_det1_b15_s20_h12_w50,1,12,15,20,0.1836734693877551,0.09183673469387756,50,34.52912816829175,50.229694254845015,0.5137344002723694,90.50020599365234,p95
config_14_det1_b15_s20_h12_w500,1,12,15,20,0.1836734693877551,0.09183673469387756,500,62.644705663463526,117.23529090653327,1.6756274409650362,4.024696469306946,p95
config_15_det1_b15_s20_h12_w1500,1,12,15,20,0.1836734693877551,0.09183673469387756,1500,111.92980028637066,186.72582680993844,23.66181182861328,0.7958486080169678,p95
config_16_det1_b15_s20_h24_w50,1,24,15,20,0.1836734693877551,0.1836734693877551,50,34.52912816829175,50.229694254845015,1.6775703430175781,90.50141143798828,p95
config_17_det1_b15_s20_h24_w500,1,24,15,20,0.1836734693877551,0.1836734693877551,500,60.83484333117602,99.68111604674596,10.247523307800293,143.28789531707764,p95
config_18_det1_b15_s20_h24_w1500,1,24,15,20,0.1836734693877551,0.1836734693877551,1500,89.70749591498029,157.31319362995032,9.737398147583008,235.29119873046875,p95
config_19_det1_b30_s5_h4_w50,1,4,30,5,0.7346938775510204,0.12244897959183675,50,38.024179557232756,56.077435220813406,21.10110092163086,1.9254092574119568,p95
config_20_det1_b30_s5_h4_w500,1,4,30,5,0.7346938775510204,0.12244897959183675,500,73.50970870857059,120.55024942915063,24.91796875,203.2893829345703,p95
config_21_det1_b30_s5_h4_w1500,1,4,30,5,0.7346938775510204,0.12244897959183675,1500,98.03085867125998,186.6270517154432,25.044132232666016,1.391106516122818,p95
config_22_det1_b30_s5_h12_w50,1,12,30,5,0.7346938775510204,0.3673469387755102,50,43.10521259271201,70.50838132179109,16.62010955810547,0.698162415623667,p95
config_23_det1_b30_s5_h12_w500,1,12,30,5,0.7346938775510204,0.3673469387755102,500,90.07514976062112,111.14887198089156,18.35485076904297,106.75616139590568,p95
config_24_det1_b30_s5_h12_w1500,1,12,30,5,0.7346938775510204,0.3673469387755102,1500,108.64761200647916,181.77456137404582,2.7579589518427383,0.8273988962173462,p95
config_25_det1_b30_s5_h24_w50,1,24,30,5,0.7346938775510204,0.7346938775510204,50,43.03026263822549,55.54768845757184,16.74860191345215,30.113395169377327,p95
config_26_det1_b30_s5_h24_w500,1,24,30,5,0.7346938775510204,0.7346938775510204,500,120.8105252571487,141.16205250493874,17.746171951293945,26.585953652858734,p95
config_27_det1_b30_s5_h24_w1500,1,24,30,5,0.7346938775510204,0.7346938775510204,1500,143.59333358398183,184.28376306593066,7.478472072136356,27.40033146739006,p95
config_28_det1_b30_s20_h4_w50,1,4,30,20,0.36,0.06,50,41.26501687077446,51.746436507761494,0.1826138492987854,1.4202710932493485,p95
config_29_det1_b30_s20_h4_w500,1,4,30,20,0.36,0.06,500,86.9414276775468,122.7693883160922,0.6540915109275371,2.895759701728821,p95
config_30_det1_b30_s20_h4_w1500,1,4,30,20,0.36,0.06,1500,119.75497190260756,219.1122578598937,6.38757363036857,1.3345012664794922,p95
config_31_det1_b30_s20_h12_w50,1,12,30,20,0.36,0.18000000000000002,50,41.26501687077446,54.881419021085904,0.7116118141577639,92.61483001708984,p95
config_32_det1_b30_s20_h12_w500,1,12,30,20,0.36,0.18000000000000002,500,70.27302846612841,112.88123919115442,26.126726150512695,161.67404174804688,p95
config_33_det1_b30_s20_h12_w1500,1,12,30,20,0.36,0.18000000000000002,1500,115.1144635957746,176.72316399667838,1.433206898925453,215.4159393310547,p95
config_34_det1_b30_s20_h24_w50,1,24,30,20,0.36,0.36000000000000004,50,41.26501687077446,54.881419021085904,0.44111998106699735,95.9701919555664,p95
config_35_det1_b30_s20_h24_w500,1,24,30,20,0.36,0.36000000000000004,500,70.34640981472123,112.11650339300374,26.11333656311035,38.8108491897583,p95
config_36_det1_b30_s20_h24_w1500,1,24,30,20,0.36,0.36000000000000004,1500,105.85485486939254,186.22293910045477,1.327205593144754,1.9898360073566437,p95
config_37_det2_b15_s5_h4_w50,2,4,15,5,0.5625,0.09375,50,40.04480303360225,55.399669036356485,0.6895030263613486,8.83696689009672,p95
config_38_det2_b15_s5_h4_w500,2,4,15,5,0.5625,0.09375,500,82.01376953714245,124.81428704279008,22.73354721069336,208.5460739898682,p95
config_39_det2_b15_s5_h4_w1500,2,4,15,5,0.5625,0.09375,1500,113.03293565491342,196.370931997491,5.215123397862771,246.8846893310547,p95
config_40_det2_b15_s5_h12_w50,2,12,15,5,0.5625,0.28125,50,39.39528936274539,65.59760856921538,20.160070419311523,149.1402130126953,p95
config_41_det2_b15_s5_h12_w500,2,12,15,5,0.5625,0.28125,500,90.38623374164895,124.28751445740637,4.981459099805216,287.1891987609863,p95
