Det,Location,Target,Formula,Regime,C,m,p_rho,q_HoverS,r_sW13,C0,C1_sW13,C2_switch,C3_canyon,C4_lnZf,a_thresh,K_const,K_invpi2,K_rho,K_hs,K_xi,Zf_min
1,Street,Pressure,lambda_regime,amplification,,,,,,0.7735955449400942,-0.09776963546750764,0.05941644833257719,0.005574735823639647,0.3199335958155369,1.0,,,,,,2.0
1,Street,Pressure,lambda_regime,attenuation,,,,,,0.8178483670188529,0.03684589732951406,-0.07076982611278085,0.05890606475072648,0.023361354261159838,1.0,,,,,,2.0
1,Street,Pressure,lambda_regime,pooled,,,,,,0.7780748624164241,0.044033476586523,-0.14660640484940743,0.06020431690115825,0.07398900302145564,1.0,,,,,,2.0
1,Street,Pressure,lambda_regime,criterion,,,,,,,,,,,,3.4816009303048894,-2.284149801909714,-0.25193466303509243,0.42782632233305945,-1.593244018465951,2.0
1,Street,Impulse,power,,1.5500248897806566,0.9365859357944089,0.16233075432681532,0.05973616846325725,-0.051495280735800675,,,,,,,,,,,,2.0
2,Intersection,Pressure,lambda_regime,amplification,,,,,,0.8003685705778648,0.02667985193061051,-0.1524281960868396,0.04189469934790043,0.1510468658989983,2.0,,,,,,2.0
2,Intersection,Pressure,lambda_regime,attenuation,,,,,,1.0986744325029054,-0.00968244477755658,0.13360960605992844,0.057059299585977066,-0.06201000370801263,2.0,,,,,,2.0
2,Intersection,Pressure,lambda_regime,pooled,,,,,,0.9066099675016709,0.007720543237310154,0.005882821730265141,0.07542302689288694,0.10685337102256615,2.0,,,,,,2.0
2,Intersection,Pressure,lambda_regime,criterion,,,,,,,,,,,,-0.12946455308746552,-2.2960093847218057,4.589372292851067,0.24661115060849514,-1.3238987738978347,2.0
2,Intersection,Impulse,power,,1.3697419831482758,0.9849160072274662,0.037508768802585135,0.10504399310558835,-0.03362902684253308,,,,,,,,,,,,2.0
