Config,Z,P_ff,I_ff,MaxR_P,MaxR_I
config_01_det1_b15_s5_h4_w50,1,1143.99309910078,724.976931135836,5.2932166690808975,8.980525893695487
config_01_det1_b15_s5_h4_w50,2,226.084029078955,415.578696008349,11.130655664463832,18.26453736063072
config_01_det1_b15_s5_h4_w50,3,95.9537592016972,309.044693901097,16.95711313862343,23.90361679577681
config_01_det1_b15_s5_h4_w50,4,55.3066653883184,243.601640148777,23.4473282185829,26.645712600360298
config_01_det1_b15_s5_h4_w50,5,36.993922117345,199.162959091226,,32.91126175414142
config_01_det1_b15_s5_h4_w50,6,27.0813487792226,167.515272305283,,36.02813842808427
config_01_det1_b15_s5_h4_w50,7,21.0130117246902,144.270449058323,,41.54204423496205
config_02_det1_b15_s5_h4_w500,1,1371.96964499226,1562.09876717853,13.09260287337854,21.435273035678147
config_02_det1_b15_s5_h4_w500,2,259.641330065364,879.048720659531,26.330191517730675,28.80865502571587
config_02_det1_b15_s5_h4_w500,3,105.27554977829,661.976402363107,36.40661558045524,42.38090633545461
config_02_det1_b15_s5_h4_w500,4,59.8243642194367,522.325202955406,48.73028403469138,49.09481620083052
config_02_det1_b15_s5_h4_w500,5,40.4077641479295,425.720697172114,,62.62395366295
config_02_det1_b15_s5_h4_w500,6,30.0937750463872,358.05135977561,,74.5389087931904
config_02_det1_b15_s5_h4_w500,7,23.5282591644182,308.420236242715,,85.72696417390392
config_02_det1_b15_s5_h4_w500,8,19.0428108742971,270.599644012954,,92.62064124898944
config_03_det1_b15_s5_h4_w1500,1,1482.77218730659,2195.12941567296,19.431631802077312,27.859898687465478
config_03_det1_b15_s5_h4_w1500,2,276.168535055985,1274.88781758312,35.268984218595435,42.38090633545461
config_03_det1_b15_s5_h4_w1500,3,110.489999377789,954.913490984421,53.473443052591904,51.144137348087256
config_03_det1_b15_s5_h4_w1500,4,62.265165672113,754.396736282332,63.630674762206965,66.45713524533821
config_03_det1_b15_s5_h4_w1500,5,41.3983921590561,615.089943611065,,84.93312698770555
config_03_det1_b15_s5_h4_w1500,6,30.5947542861908,517.737731419071,,94.20174360539447
config_03_det1_b15_s5_h4_w1500,7,24.0675826659041,446.310779861523,,111.0246515345241
config_03_det1_b15_s5_h4_w1500,8,19.5984247045618,391.790936353185,,130.53100891718924
config_03_det1_b15_s5_h4_w1500,9,14.813237392189,347.069530043393,,149.19825506480822
config_04_det1_b15_s5_h12_w50,1,1143.99309910078,724.976931135836,,9.398873612013963
config_04_det1_b15_s5_h12_w50,2,226.084029078955,415.578696008349,11.335374253968766,22.73550336261164
config_04_det1_b15_s5_h12_w50,3,95.9537592016972,309.044693901097,16.844930076152718,26.950689253196586
config_04_det1_b15_s5_h12_w50,4,55.3066653883184,243.601640148777,,27.784468387361542
config_04_det1_b15_s5_h12_w50,5,36.993922117345,199.162959091226,,32.65436874333722
config_04_det1_b15_s5_h12_w50,6,27.0813487792226,167.515272305283,,44.82799411219252
config_05_det1_b15_s5_h12_w500,1,1371.96964499226,1562.09876717853,14.62341151502106,26.847550002752797
config_05_det1_b15_s5_h12_w500,2,259.641330065364,879.048720659531,26.79333308886744,38.23047155733772
config_05_det1_b15_s5_h12_w500,3,105.27554977829,661.976402363107,36.60113867426107,46.894550222014246
config_05_det1_b15_s5_h12_w500,4,59.8243642194367,522.325202955406,53.01998709414916,63.1101649999481
config_05_det1_b15_s5_h12_w500,5,40.4077641479295,425.720697172114,,77.92775350933866
config_05_det1_b15_s5_h12_w500,6,30.0937750463872,358.05135977561,,93.53179701899685
config_06_det1_b15_s5_h12_w1500,1,1482.77218730659,2195.12941567296,19.172934607631138,37.052872530745674
config_06_det1_b15_s5_h12_w1500,2,276.168535055985,1274.88781758312,36.644466624316586,51.20220815026225
config_06_det1_b15_s5_h12_w1500,3,110.489999377789,954.913490984421,63.48923697903945,64.88507924200418
config_06_det1_b15_s5_h12_w1500,4,62.265165672113,754.396736282332,80.93296310337249,89.07568819510058
