Config,Z,P_ff,I_ff,MaxR_P,MaxR_I,beyond_P,beyond_I,RadiusEstimator
config_01_det1_b15_s5_h4_w50,1,1143.99309910078,724.976931135836,5.2932166690808975,8.980525893695487,False,False,p95
config_01_det1_b15_s5_h4_w50,2,226.084029078955,415.578696008349,11.130655664463832,18.26453736063072,False,False,p95
config_01_det1_b15_s5_h4_w50,3,95.9537592016972,309.044693901097,16.95711313862343,23.90361679577681,False,False,p95
config_01_det1_b15_s5_h4_w50,4,55.3066653883184,243.601640148777,23.4473282185829,26.645712600360298,False,False,p95
config_01_det1_b15_s5_h4_w50,5,36.993922117345,199.162959091226,28.141272064347973,32.91126175414142,False,False,p95
config_01_det1_b15_s5_h4_w50,6,27.0813487792226,167.515272305283,34.77542660397782,36.02813842808427,False,False,p95
config_01_det1_b15_s5_h4_w50,7,21.0130117246902,144.270449058323,35.80440329708925,41.54204423496205,True,False,p95
config_01_det1_b15_s5_h4_w50,8,16.9791838231912,126.567457936793,38.95020803370973,46.21322028186347,True,False,p95
config_01_det1_b15_s5_h4_w50,9,14.1386261548201,112.67074195811,46.37014530110072,50.50977599474924,True,False,p95
config_01_det1_b15_s5_h4_w50,10,12.0436968582402,101.492859164877,47.85912255113885,54.96031061610335,True,True,p95
config_01_det1_b15_s5_h4_w50,11,10.4441745847862,92.3147739934436,53.395612823373085,62.599530723243404,True,True,p95
config_01_det1_b15_s5_h4_w50,12,9.18858802088564,84.6488737667435,62.512486264383156,65.76457262169498,True,True,p95
config_01_det1_b15_s5_h4_w50,13,8.17952811343337,78.1526248923616,63.78021630068665,75.30185381036223,True,True,p95
config_01_det1_b15_s5_h4_w50,14,7.35329010871709,72.5789333035372,64.97694167447966,80.77833776557023,True,True,p95
config_01_det1_b15_s5_h4_w50,15,6.66553395622582,67.7448225492957,67.79604131621767,83.31403626946337,True,True,p95
config_01_det1_b15_s5_h4_w50,16,6.08550710316677,63.5135734450523,73.61172777190481,87.61463919377397,True,True,p95
config_01_det1_b15_s5_h4_w50,17,5.59016165342281,59.7788117000728,82.43881748191671,92.98474266013287,True,True,p95
config_01_det1_b15_s5_h4_w50,18,5.1628769216908,56.4585920266622,82.53918609394908,101.52013730188287,True,True,p95
config_01_det1_b15_s5_h4_w50,19,4.7910922066594,53.4876153308822,88.05815666250348,104.48852178282041,True,True,p95
config_01_det1_b15_s5_h4_w50,20,4.46481413819361,50.8136682209736,89.69088393711016,107.18716459317054,True,True,p95
config_02_det1_b15_s5_h4_w500,1,1371.96964499226,1562.09876717853,13.09260287337854,21.435273035678147,False,False,p95
config_02_det1_b15_s5_h4_w500,2,259.641330065364,879.048720659531,26.330191517730675,28.80865502571587,False,False,p95
config_02_det1_b15_s5_h4_w500,3,105.27554977829,661.976402363107,36.40661558045524,42.38090633545461,False,False,p95
config_02_det1_b15_s5_h4_w500,4,59.8243642194367,522.325202955406,48.73028403469138,49.09481620083052,False,False,p95
config_02_det1_b15_s5_h4_w500,5,40.4077641479295,425.720697172114,59.96599888752863,62.62395366295,False,False,p95
config_02_det1_b15_s5_h4_w500,6,30.0937750463872,358.05135977561,63.53655230527725,74.5389087931904,False,False,p95
config_02_det1_b15_s5_h4_w500,7,23.5282591644182,308.420236242715,73.61172777190481,85.72696417390392,True,False,p95
config_02_det1_b15_s5_h4_w500,8,19.0428108742971,270.599644012954,84.48160700723311,92.62064124898944,True,False,p95
config_02_det1_b15_s5_h4_w500,9,15.852309192731,240.900973795346,94.822013561584,105.93060252035576,True,False,p95
config_02_det1_b15_s5_h4_w500,10,13.4989773933766,217.007292249313,105.39787100161777,117.73948145876781,True,False,p95
config_02_det1_b15_s5_h4_w500,11,11.7063849801001,197.385914003329,110.54532355397694,131.4044804438421,True,True,p95
config_02_det1_b15_s5_h4_w500,12,10.3024927250127,174.798447942669,118.77617949655611,149.08092849998266,True,True,p95
config_02_det1_b15_s5_h4_w500,13,8.2343773807999,165.736766297224,133.8883250191113,155.68398640326626,True,True,p95
config_02_det1_b15_s5_h4_w500,14,7.1387354334877,155.114313416779,148.9491350172825,167.20576039333145,True,True,p95
config_02_det1_b15_s5_h4_w500,15,6.30992163133089,144.57194507965,163.84851205368693,177.55215261612847,True,True,p95
config_02_det1_b15_s5_h4_w500,16,5.64079151507659,135.933108110648,178.48155448630644,192.7800821264487,True,True,p95
config_02_det1_b15_s5_h4_w500,17,5.12956312475836,128.020670362398,197.9311914188915,208.2515036892894,True,True,p95
config_02_det1_b15_s5_h4_w500,18,4.70918677317163,120.936071767983,207.63014380918514,219.7060604874576,True,True,p95
config_02_det1_b15_s5_h4_w500,19,4.34538602141658,114.666952954547,218.75593304976587,236.27916776927822,True,True,p95
config_02_det1_b15_s5_h4_w500,20,4.03167079521766,108.995763264335,234.85937510279248,246.7499264364123,True,True,p95
config_03_det1_b15_s5_h4_w1500,1,1482.77218730659,2195.12941567296,19.431631802077312,27.859898687465478,False,False,p95
config_03_det1_b15_s5_h4_w1500,2,276.168535055985,1274.88781758312,35.268984218595435,42.38090633545461,False,False,p95
config_03_det1_b15_s5_h4_w1500,3,110.489999377789,954.913490984421,53.473443052591904,51.144137348087256,False,False,p95
config_03_det1_b15_s5_h4_w1500,4,62.265165672113,754.396736282332,63.630674762206965,66.45713524533821,False,False,p95
config_03_det1_b15_s5_h4_w1500,5,41.3983921590561,615.089943611065,86.89383526870745,84.93312698770555,False,False,p95
config_03_det1_b15_s5_h4_w1500,6,30.5947542861908,517.737731419071,98.08545522531263,94.20174360539447,False,False,p95
config_03_det1_b15_s5_h4_w1500,7,24.0675826659041,446.310779861523,110.10668305356145,111.0246515345241,True,False,p95
config_03_det1_b15_s5_h4_w1500,8,19.5984247045618,391.790936353185,119.44594222497558,130.53100891718924,True,False,p95
config_03_det1_b15_s5_h4_w1500,9,14.813237392189,347.069530043393,146.86569074351496,149.19825506480822,True,False,p95
config_03_det1_b15_s5_h4_w1500,10,12.2749345250106,314.281592480616,170.46979653599988,167.7254866851846,True,False,p95
config_03_det1_b15_s5_h4_w1500,11,10.3785968167878,286.18006793008,191.44282702556336,186.28001552165205,True,False,p95
config_03_det1_b15_s5_h4_w1500,12,9.08425019280687,262.551262568411,208.57457006387546,205.63778039188188,True,True,p95
config_03_det1_b15_s5_h4_w1500,13,8.07100869684366,242.465429921281,234.33532996954756,220.99562279307168,True,True,p95
config_03_det1_b15_s5_h4_w1500,14,7.24897508045351,225.256267238797,259.58746474594835,236.78330982047194,True,True,p95
config_03_det1_b15_s5_h4_w1500,15,6.56841598047092,210.321763462317,271.69449958221026,253.93084434285873,True,True,p95
config_03_det1_b15_s5_h4_w1500,16,5.99684734319579,197.206183278909,287.383552510189,272.0172170370537,True,True,p95
config_03_det1_b15_s5_h4_w1500,17,5.50925993039002,185.62250063012,301.70246030405406,287.72227689307744,True,True,p95
config_03_det1_b15_s5_h4_w1500,18,5.08897006822918,175.317193184827,318.64415673915744,306.45951779566485,True,True,p95
config_03_det1_b15_s5_h4_w1500,19,4.72308712345199,166.110522527026,331.4186646820555,323.1285138329805,True,True,p95
config_03_det1_b15_s5_h4_w1500,20,4.4019262322732,157.810856039111,348.90808773351637,341.86468727144256,True,True,p95
config_04_det1_b15_s5_h12_w50,1,1143.99309910078,724.976931135836,,9.398873612013963,True,False,p95
config_04_det1_b15_s5_h12_w50,2,226.084029078955,415.578696008349,11.335374253968766,22.73550336261164,False,False,p95
config_04_det1_b15_s5_h12_w50,3,95.9537592016972,309.044693901097,16.844930076152718,26.950689253196586,False,False,p95
config_04_det1_b15_s5_h12_w50,4,55.3066653883184,243.601640148777,23.63949950991135,27.784468387361542,False,False,p95
config_04_det1_b15_s5_h12_w50,5,36.993922117345,199.162959091226,30.079330325869332,32.65436874333722,False,False,p95
config_04_det1_b15_s5_h12_w50,6,27.0813487792226,167.515272305283,33.12519023832817,44.82799411219252,False,False,p95
config_04_det1_b15_s5_h12_w50,7,21.0130117246902,144.270449058323,34.670943521499865,54.1153849918705,True,False,p95
config_04_det1_b15_s5_h12_w50,8,16.9791838231912,126.567457936793,43.11595525313213,63.52840423073028,True,False,p95
config_04_det1_b15_s5_h12_w50,9,14.1386261548201,112.67074195811,48.19263047369679,69.72834336271234,True,True,p95
config_04_det1_b15_s5_h12_w50,10,12.0436968582402,101.492859164877,57.65973959037446,75.38323512817419,True,True,p95
config_04_det1_b15_s5_h12_w50,11,10.4441745847862,92.3147739934436,64.01529300253102,79.94411170911738,True,True,p95
config_04_det1_b15_s5_h12_w50,12,9.18858802088564,84.6488737667435,67.92819890365766,84.53501828196067,True,True,p95
config_04_det1_b15_s5_h12_w50,13,8.17952811343337,78.1526248923616,70.19919940229094,90.78423628577048,True,True,p95
config_04_det1_b15_s5_h12_w50,14,7.35329010871709,72.5789333035372,71.80883579065151,93.53854649598259,True,True,p95
config_04_det1_b15_s5_h12_w50,15,6.66553395622582,67.7448225492957,76.74475318439349,100.25370940140206,True,True,p95
config_04_det1_b15_s5_h12_w50,16,6.08550710316677,63.5135734450523,78.86439144809893,186.26473885998718,True,True,p95
config_04_det1_b15_s5_h12_w50,17,5.59016165342281,59.7788117000728,82.1441378709484,187.95512282351206,True,True,p95
config_04_det1_b15_s5_h12_w50,18,5.1628769216908,56.4585920266622,83.20762424461364,188.71223393057136,True,True,p95
config_04_det1_b15_s5_h12_w50,19,4.7910922066594,53.4876153308822,83.74584560223943,189.9924212603883,True,True,p95
config_04_det1_b15_s5_h12_w50,20,4.46481413819361,50.8136682209736,84.72333726826477,190.37298874672757,True,True,p95
